osm_id,osm_type,nombre,amenity,healthcare,lat,lon
6348543786,node,Sanatorio San Jorge,hospital,hospital,-54.8153937,-68.3258252
6376209059,node,CECOSF Ñancul,doctors,hospital,-39.2832398,-72.3078218
6388419950,node,Instituto Materno Infantil,hospital,hospital,-41.1363678,-71.3073273
6456697286,node,Hospital Intercultural Comunitario Pu Mülen de Quilacahuin,hospital,hospital,-40.3679852,-73.2610994
6489349860,node,P.S. La Comuna,hospital,hospital,-17.9062232,-66.4781386
6547831439,node,C.S.I. Umala,hospital,hospital,-17.3729272,-68.021295
6549834144,node,C.S. Macha,hospital,hospital,-18.8182241,-66.0382569
6550015057,node,P.S. Huancarani,hospital,hospital,-18.7344614,-66.1406692
6550086450,node,C.S. Santa Barbara de Pocoata,hospital,hospital,-18.6997632,-66.1670888
6551818614,node,P.S. Crucero Belen,hospital,hospital,-18.2045338,-67.1605837
6551824275,node,C.S.I. Papel Pampa,hospital,hospital,-17.8193283,-67.7705093
6558686153,node,P.S. Japo,hospital,hospital,-17.6942777,-66.7637328
6769432723,node,Estación Médica Rural,doctors,hospital,-33.9561764,-70.6438416
6769725791,node,C.S. Palca,hospital,hospital,-17.1890904,-66.0758377
6769754285,node,C. S. Kaluyo Chico,hospital,hospital,-17.2188556,-66.0822778
6778413842,node,Hospital Regional San Roque,hospital,hospital,-32.6007551,-66.1216557
6846210650,node,Unidad Neumología,,hospital,-17.3951398,-66.2060417
6846214109,node,Servicio de Infectología,,hospital,-17.3945335,-66.2064437
6847593163,node,C.S. Apharumiri (1er Nivel),hospital,hospital,-17.5299114,-66.5209597
6865217812,node,Sin nombre,hospital,hospital,-26.061192,-67.4083681
6866961074,node,P.S. Tapacari,hospital,hospital,-17.5167942,-66.6181935
6899393202,node,P.S. Kollpa Pucho Belen Alto (1er Nivel),hospital,hospital,-17.3665299,-67.5576634
7009112985,node,Clínica RedSalud Santiago,hospital,hospital,-33.457119,-70.7018142
7033555282,node,Sanatorio Ramos Mejia,hospital,hospital,-33.3009555,-66.3413973
7072289574,node,C.S. Yayani,hospital,hospital,-17.211817,-66.6560191
7075988564,node,P.S. Tiquirpaya,hospital,hospital,-17.1145612,-66.7304303
7196191008,node,C.S. San Antonio de Esmoruco,hospital,hospital,-21.9488294,-66.5177239
7204020155,node,Centro De Estudios Digestivos De Mendoza (C.E.Di.M.) Hospital De Día - Capital,hospital,hospital,-32.892202,-68.8320018
7222001487,node,San Agustin de Hipona,hospital,hospital,-17.9774282,-67.1018209
7312966933,node,Posta de Salud Rural,doctors,hospital,-42.7449682,-72.9619138
7312966957,node,Posta de Salud Rural Chulín,doctors,hospital,-42.6303774,-73.0403459
7312966958,node,Posta de Salud Rural Chumeldén,doctors,hospital,-42.5214757,-72.8114177
7357322001,node,C.S. Sabaya,hospital,hospital,-19.0157071,-68.3728202
7357992496,node,P.S. Yunguyo del Litoral,hospital,hospital,-18.8536682,-68.3200174
7361653141,node,Posta Sanitaria de Arbol Solo,hospital,hospital,-36.6365542,-66.4769626
7361653142,node,Posta Sanitaria Arbol de La Esperanza,hospital,hospital,-36.945073,-66.9557905
7365790422,node,P.S. Negrillos (1er Nivel),hospital,hospital,-18.8283572,-68.6105581
7365894857,node,Ctro. de Salud de Chosmalal,hospital,hospital,-36.7822369,-68.1680846
7369196278,node,Centro de Salud Doctor Manuel Perez,hospital,hospital,-36.2306444,-66.9401667
7369208890,node,Centro de Salud de Limay Mahuida,hospital,hospital,-37.1594004,-66.6761298
7373793001,node,P.S. Calama,hospital,hospital,-18.7589763,-67.6767332
7376735332,node,Hospital Rural Cushamen,hospital,hospital,-42.172596,-70.6629724
7376735333,node,Hospital Rural Corcovado,hospital,hospital,-43.540947,-71.469416
7376735335,node,Hospital Rural Las Plumas,hospital,hospital,-43.7218995,-67.2839559
7376735337,node,Hospital Rural Dra Thalina Riasnianski -Rio Pico,hospital,hospital,-44.1808779,-71.365963
7376735338,node,Hospital Rural Rio Senguer,hospital,hospital,-45.0413692,-70.8244891
7376735340,node,Hospital Rural Gualjaina,hospital,hospital,-42.71925,-70.5502393
7385478209,node,Hospital Eva Peron - San Rafael,hospital,hospital,-34.908284,-67.815404
7385478210,node,Micro Hospital Miguel De Andrea - Godoy Cruz,hospital,hospital,-32.915268,-68.865267
7385478211,node,Hospital Fernando Arenas Raffo Santa Rosa,hospital,hospital;yes,-33.2542573,-68.145107
7385695222,node,Hospital Tomás Perón,hospital,hospital,-30.2144355,-69.1442772
7385695223,node,Hospital Doctor Aldo Cantoni,hospital,hospital,-31.3328166,-69.4186585
7385695224,node,Hospital Los Berros,hospital,hospital,-31.9528448,-68.6537851
7387098570,node,Hospital Seccional Villa Mazan,hospital,hospital,-28.6571143,-66.5469081
