IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1645920,12,6,10,2024,14,RIO BUENO,14,14204,LOS RÍOS,RÍO BUENO,-40.437057,-72.740011,Leve,1,Tarde,21.126
1645934,27,7,10,2024,13,QUINTA DE TILCOCO,6,6114,LIBERTADOR GENERAL BERNARDO O'HIGGINS,QUINTA DE TILCOCO,-34.370483,-71.05031,Leve,1,Tarde,7.618
1645943,8,2,10,2024,18,LA UNION,14,14201,LOS RÍOS,LA UNIÓN,-40.319115,-72.996463,Sin lesionados,0,Noche,4.289
1645977,23,3,10,2024,10,PARRAL,7,7404,MAULE,PARRAL,-36.157274,-71.814282,Leve,0,Mañana,0.547
1645987,27,7,10,2024,20,MALLOA,6,6109,LIBERTADOR GENERAL BERNARDO O'HIGGINS,MALLOA,-34.467227,-70.895767,Sin lesionados,1,Noche,0.315
1645989,27,7,10,2024,8,YUNGAY,16,16109,ÑUBLE,YUNGAY,-37.172277,-72.154883,Leve,1,Mañana,20.275
1645992,13,7,10,2024,16,PARRAL,7,7404,MAULE,PARRAL,-36.163175,-71.810577,Grave,1,Tarde,1.26
1645999,25,5,10,2024,12,LA SERENA,4,4101,COQUIMBO,LA SERENA,-29.92711,-71.270007,Sin lesionados,0,Tarde,1.998
1646019,24,4,10,2024,15,PADRE LAS CASAS,9,9112,LA ARAUCANÍA,PADRE LAS CASAS,-38.770537,-72.630528,Sin lesionados,0,Tarde,1.25
1646028,26,6,10,2024,20,VILLARRICA,9,9120,LA ARAUCANÍA,VILLARRICA,-39.275524,-72.272093,Fatal,1,Noche,3.193
1648092,3,7,11,2024,23,OSORNO,10,10301,LOS LAGOS,OSORNO,-40.5432,-73.084923,Grave,1,Noche,5.356
1648094,6,3,11,2024,4,NACIMIENTO,8,8306,BIOBÍO,NACIMIENTO,-37.44068,-72.776344,Leve,0,Madrugada,11.494
1648098,4,1,11,2024,17,PUNTA ARENAS,12,12101,MAGALLANES Y DE LA ANTÁRTICA CHILENA,PUNTA ARENAS,-52.545258,-71.224948,Sin lesionados,0,Tarde,19.95
1648127,5,2,11,2024,22,SANTA CRUZ,6,6310,LIBERTADOR GENERAL BERNARDO O'HIGGINS,SANTA CRUZ,-34.662057,-71.424008,Leve,0,Noche,6.839
1648134,5,2,11,2024,11,PELARCO,7,7106,MAULE,PELARCO,-35.308081,-71.515083,Leve,0,Mañana,10.376
1648143,5,2,11,2024,9,TALCA,7,7101,MAULE,TALCA,-35.422108,-71.580346,Leve,0,Mañana,6.005
1648152,6,3,11,2024,10,LOS ANDES,5,5301,VALPARAÍSO,LOS ANDES,-32.836488,-70.598643,Grave,0,Mañana,0.217
1648156,1,5,11,2024,15,COYHAIQUE,11,11101,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,COIHAIQUE,-45.708858,-71.910764,Leve,0,Tarde,20.159
1648162,19,6,10,2024,6,QUINTERO,5,5107,VALPARAÍSO,QUINTERO,-32.800155,-71.483847,Leve,1,Mañana,4.305
1648165,24,4,10,2024,18,CORONEL,8,8102,BIOBÍO,CORONEL,-36.838624,-73.097044,Grave,0,Noche,0.819
1648167,3,7,11,2024,12,LA SERENA,4,4101,COQUIMBO,LA SERENA,-29.921359,-71.193258,Leve,1,Tarde,2.519
1648170,5,2,11,2024,7,PUERTO VARAS,10,10109,LOS LAGOS,PUERTO VARAS,-41.268823,-73.007666,Sin lesionados,0,Mañana,0.759
1648173,6,3,11,2024,16,PEMUCO,16,16105,ÑUBLE,PEMUCO,-36.896017,-72.337906,Sin lesionados,0,Tarde,16.699
1648182,3,7,11,2024,11,ANCUD,10,10202,LOS LAGOS,ANCUD,-41.910732,-73.794904,Sin lesionados,1,Mañana,5.276
1648183,2,6,11,2024,12,COLINA,13,13301,METROPOLITANA DE SANTIAGO,COLINA,-33.238944,-70.697039,Grave,1,Tarde,4.005
1648186,19,6,10,2024,16,PUCHUNCAVI,5,5105,VALPARAÍSO,PUCHUNCAVÍ,-32.698775,-71.405383,Leve,1,Tarde,14.781
1650551,16,6,11,2024,5,REQUINOA,6,6116,LIBERTADOR GENERAL BERNARDO O'HIGGINS,REQUÍNOA,-34.309979,-70.826467,Sin lesionados,1,Madrugada,2.743
1650554,14,4,11,2024,8,PELLUHUE,7,7203,MAULE,PELLUHUE,-35.799846,-72.544943,Leve,0,Mañana,6.815
1650556,8,5,11,2024,17,CARAHUE,9,9102,LA ARAUCANÍA,CARAHUE,-38.761497,-72.694132,Leve,0,Tarde,6.752
1650564,8,5,11,2024,19,CHOLCHOL,9,9121,LA ARAUCANÍA,CHOLCHOL,-38.716905,-72.627024,Leve,0,Noche,1.932
1650609,8,5,11,2024,22,LA LIGUA,5,5401,VALPARAÍSO,LA LIGUA,-32.229535,-71.507165,Fatal,0,Noche,34.912
1650612,12,2,11,2024,16,ANGOL,9,9201,LA ARAUCANÍA,ANGOL,-37.899113,-72.546668,Leve,0,Tarde,11.837
1650615,14,4,11,2024,15,MOLINA,7,7304,MAULE,MOLINA,-35.048985,-71.279266,Sin lesionados,0,Tarde,6.737
1650620,15,5,11,2024,15,QUELLON,10,10208,LOS LAGOS,QUELLÓN,-43.112228,-73.532957,Sin lesionados,0,Tarde,6.839
1650625,14,4,11,2024,13,TALCA,7,7101,MAULE,TALCA,-35.421955,-71.5913,Leve,0,Tarde,5.018
